Gibbs Energy (J/mol):
-5.4236e+03
initial_n final_n
4.3678e+02 4.3662e+02
5.2870e-13 1.6894e-13
7.5000e-01 7.1162e-01
2.5000e-02 2.9239e-02
2.0000e-01 2.0008e-01
1.0000e-10 2.9846e-07
4.0880e-07 2.2222e-03
8.1400e-02 1.5596e-11
4.1850e-02 5.7864e-07
3.6600e-08 1.8800e-08
1.9676e-06 1.5689e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.8405e-01
5.2395e-02 5.5166e-02
6.2092e-04 2.8999e-04
3.1183e-07 7.3845e-07
4.9434e-08 1.5664e-04
2.2144e-05 7.6619e-02
3.7888e-03 3.7955e-03
5.1831e-15 1.6339e-13
4.8126e-09 2.7694e-05
6.2343e-04 5.7187e-12
7.8330e-15 1.7153e-08
7.8330e-15 6.4765e-10
2.5559e-04 4.2418e-09
