Gibbs Energy (J/mol):
-2.0648e+03
initial_n final_n
4.3678e+02 4.3671e+02
4.2070e-13 1.2771e-13
7.5000e-01 7.3376e-01
2.5000e-02 2.9719e-02
2.0000e-01 1.9596e-01
1.0000e-10 1.1115e-07
1.5180e-07 1.5112e-04
2.9970e-02 4.3511e-12
1.8870e-02 3.0769e-07
6.0270e-09 2.7312e-09
1.9676e-06 1.7498e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.3993e-01
5.2395e-02 5.3754e-02
6.2092e-04 2.1195e-04
3.1183e-07 6.6331e-07
4.9434e-08 6.5239e-05
2.2144e-05 3.2339e-02
3.7888e-03 3.8392e-03
4.1241e-15 1.8639e-14
1.7875e-09 1.6773e-06
2.2951e-04 1.9455e-11
7.8330e-15 2.0955e-09
7.8330e-15 1.2003e-09
1.1522e-04 1.9516e-09
