Gibbs Energy (J/mol):
-2.2388e+02
initial_n final_n
4.3678e+02 4.3676e+02
3.7600e-13 1.2472e-13
7.5000e-01 7.4754e-01
2.5000e-02 3.0191e-02
2.0000e-01 1.9587e-01
1.0000e-10 1.5303e-08
1.8280e-08 6.9696e-07
1.4660e-03 4.4712e-14
5.6210e-03 8.0132e-08
1.1170e-09 2.0158e-13
1.9676e-06 1.9764e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.1244e-01
5.2395e-02 5.2800e-02
6.2092e-04 1.6986e-04
3.1183e-07 5.8747e-07
4.9434e-08 7.7252e-06
2.2144e-05 4.7676e-03
3.7888e-03 3.8674e-03
3.6862e-15 1.2044e-13
2.1525e-10 8.7480e-09
1.1225e-05 3.5951e-12
7.8330e-15 1.1167e-09
7.8330e-15 1.0540e-13
3.4324e-05 1.0520e-11
