Gibbs Energy (J/mol):
-6.9129e+01
initial_n final_n
4.3678e+02 4.3676e+02
4.5200e-13 2.3346e-13
7.5000e-01 7.4609e-01
2.5000e-02 3.0000e-02
2.0000e-01 1.9471e-01
1.0000e-10 2.5144e-08
2.7750e-03 2.4973e-06
1.3280e-04 4.0349e-11
7.1040e-05 1.0925e-07
2.1250e-09 1.3509e-12
1.9676e-06 1.9815e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.1529e-01
5.2395e-02 5.2572e-02
6.2092e-04 1.7382e-04
3.1183e-07 5.9523e-07
4.9434e-08 1.2504e-05
2.2144e-05 7.6268e-03
3.7888e-03 3.8889e-03
4.4311e-15 2.2523e-13
3.2671e-05 3.0281e-08
1.0167e-06 5.1294e-12
7.8330e-15 2.3150e-11
7.8330e-15 2.1005e-09
4.3379e-07 1.0182e-09
