Gibbs Energy (J/mol):
-5.5402e+02
initial_n final_n
4.3678e+02 4.3675e+02
3.5300e-13 7.9853e-13
7.5000e-01 7.4482e-01
2.5000e-02 3.0072e-02
2.0000e-01 1.9550e-01
1.0000e-10 3.3445e-08
5.4730e-08 5.6042e-06
6.1190e-03 3.3021e-11
9.1170e-03 1.3347e-07
1.5950e-09 1.9509e-10
1.9676e-06 1.9028e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.1787e-01
5.2395e-02 5.2420e-02
6.2092e-04 1.7620e-04
3.1183e-07 6.1130e-07
4.9434e-08 1.7261e-05
2.2144e-05 1.0215e-02
3.7888e-03 3.8637e-03
3.4606e-15 7.7196e-13
6.4434e-10 1.7119e-07
4.6865e-05 1.7666e-11
7.8330e-15 3.0258e-10
7.8330e-15 1.0973e-09
5.5677e-05 8.5393e-10
