Gibbs Energy (J/mol):
-4.4878e+03
initial_n final_n
4.3678e+02 4.3664e+02
5.0610e-13 5.8723e-13
7.5000e-01 7.1732e-01
2.5000e-02 2.9344e-02
2.0000e-01 1.9858e-01
1.0000e-10 2.4753e-07
3.3270e-07 1.2973e-03
6.7210e-02 8.3197e-11
3.5280e-02 5.0931e-07
2.4840e-08 1.2915e-08
1.9676e-06 1.6104e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.7268e-01
5.2395e-02 5.4688e-02
6.2092e-04 2.6814e-04
3.1183e-07 7.2276e-07
4.9434e-08 1.2885e-04
2.2144e-05 6.5204e-02
3.7888e-03 3.8142e-03
4.9614e-15 5.6804e-13
3.9173e-09 1.6125e-05
5.1471e-04 1.7013e-11
7.8330e-15 1.1334e-08
7.8330e-15 5.9158e-10
2.1541e-04 3.2801e-09
