Gibbs Energy (J/mol):
-1.2547e+02
initial_n final_n
4.3678e+02 4.3674e+02
4.2740e-13 5.9825e-13
7.5000e-01 7.4151e-01
2.5000e-02 2.9819e-02
2.0000e-01 1.9020e-01
1.0000e-10 2.5540e-15
6.1500e-03 2.2880e-05
2.1300e-04 3.1307e-10
8.9230e-05 1.9084e-07
4.7300e-09 4.8871e-15
1.9676e-06 1.8515e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.2435e-01
5.2395e-02 5.1476e-02
6.2092e-04 1.9246e-04
3.1183e-07 6.2953e-07
4.9434e-08 2.9118e-05
2.2144e-05 1.6727e-02
3.7888e-03 3.9105e-03
4.1899e-15 5.9105e-13
7.2408e-05 2.7951e-07
1.6316e-06 2.0635e-13
7.8330e-15 1.0609e-14
7.8330e-15 4.7300e-09
5.4486e-07 2.7086e-10
