Gibbs Energy (J/mol):
-2.4384e+02
initial_n final_n
4.3678e+02 4.3670e+02
2.3930e-13 1.4642e-12
7.5000e-01 7.2857e-01
2.5000e-02 2.8914e-02
2.0000e-01 1.7627e-01
1.0000e-10 1.5101e-07
1.6060e-02 3.8019e-04
3.4410e-04 1.0196e-10
1.2360e-04 3.7590e-07
2.6750e-09 1.2116e-09
1.9676e-06 1.5600e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.5006e-01
5.2395e-02 4.9434e-02
6.2092e-04 2.4989e-04
3.1183e-07 6.5523e-07
4.9434e-08 8.5920e-05
2.2144e-05 4.2554e-02
3.7888e-03 3.9146e-03
2.3460e-15 1.4168e-12
1.8909e-04 4.7805e-06
2.6350e-06 3.1264e-11
7.8330e-15 1.1607e-09
7.8330e-15 3.0277e-10
7.5479e-07 2.0995e-09
