Gibbs Energy (J/mol):
-3.0540e+03
initial_n final_n
4.3678e+02 4.3668e+02
4.6680e-13 6.1926e-13
7.5000e-01 7.2680e-01
2.5000e-02 2.9416e-02
2.0000e-01 1.9698e-01
1.0000e-10 1.6235e-07
2.2070e-07 4.2705e-04
4.5300e-02 1.9613e-10
2.5410e-02 3.9112e-07
1.1750e-08 2.5254e-13
1.9676e-06 1.7162e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.5380e-01
5.2395e-02 5.4005e-02
6.2092e-04 2.3229e-04
3.1183e-07 6.8952e-07
4.9434e-08 8.5438e-05
2.2144e-05 4.6259e-02
3.7888e-03 3.8287e-03
4.5760e-15 2.8592e-12
2.5982e-09 5.2874e-06
3.4692e-04 9.1608e-12
7.8330e-15 1.0355e-08
7.8330e-15 1.3952e-09
1.5517e-04 2.4442e-09
