Gibbs Energy (J/mol):
-1.4868e+02
initial_n final_n
4.3678e+02 4.3673e+02
4.1730e-13 6.0052e-13
7.5000e-01 7.3937e-01
2.5000e-02 2.8868e-02
2.0000e-01 1.8725e-01
1.0000e-10 7.3554e-08
7.7620e-03 4.6910e-05
2.4530e-04 5.9451e-11
9.6270e-05 2.2622e-07
6.4240e-09 4.8448e-11
1.9676e-06 1.7722e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.2863e-01
5.2395e-02 5.1773e-02
6.2092e-04 2.0243e-04
3.1183e-07 6.5088e-07
4.9434e-08 3.7812e-05
2.2144e-05 2.1029e-02
3.7888e-03 3.9001e-03
4.0912e-15 5.8199e-13
9.1411e-05 5.7799e-07
1.8783e-06 1.6169e-11
7.8330e-15 3.0417e-09
7.8330e-15 3.3339e-09
5.8787e-07 1.4059e-09
