Gibbs Energy (J/mol):
-1.5547e+03
initial_n final_n
4.3678e+02 4.3672e+02
3.9290e-13 6.0120e-13
7.5000e-01 7.3742e-01
2.5000e-02 2.9709e-02
2.0000e-01 1.9609e-01
1.0000e-10 8.6588e-08
1.2000e-07 7.2667e-05
2.1960e-02 3.9967e-11
1.5620e-02 2.5052e-07
4.0290e-09 2.3395e-09
1.9676e-06 1.8102e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.3262e-01
5.2395e-02 5.2957e-02
6.2092e-04 2.0233e-04
3.1183e-07 6.3821e-07
4.9434e-08 4.4030e-05
2.2144e-05 2.5011e-02
3.7888e-03 3.8572e-03
3.8523e-15 5.8129e-13
1.4131e-09 8.8739e-07
1.6817e-04 7.6837e-14
7.8330e-15 1.5038e-09
7.8330e-15 1.8576e-10
9.5406e-05 1.5753e-09
